name,participation_count,points,rank,ai_rank
Froschregen,5,23150,650,
Huntik,4,23125,651,
Nocturnal,2,23100,652,
VESPAS,6,23075,653,
DejaVu,7,23075,654,
NoPwn4OldMen,4,23025,655,
Josh Alone,1,23025,656,
Ambrane,2,22850,657,
[H@ck3r_dro7],4,22850,658,
Pain Au Choco,5,22800,659,
Obligatory Pwn Machine,2,22775,660,
HuskiesCCC,6,22750,661,
We are coworkers.,4,22725,662,
WJoubert,1,22700,663,
tmpTeamName,3,22650,664,
E.S.H.A. Trojan,6,22625,665,
ISAG,4,22600,666,
CTF-Regensburg,4,22575,667,
گُمنام,4,22575,668,
BombSquad,1,22550,669,
PivotTable,3,22550,670,
n0t_h4x0rZz,2,22550,671,
baby yoda,8,22550,672,
DongLaoCTF,7,22500,673,
Hack & Cheese,2,22475,674,
CyberSec Division,18,22475,675,
Shadowstorm Syndicate,5,22475,676,
getpwnedwastaken,9,22450,677,
2L40,3,22450,678,
Goblin Gang x 42Heilbronn,8,22450,679,
Bognet,3,22425,680,
luminary,4,22425,681,
N05ec,8,22425,682,
MartialLawEnforcer,1,22400,683,
neo_Ri7S,6,22400,684,
Keyboard Cowboys,7,22250,685,
HackTheBox Meetup Bj,16,22225,686,
Kyndryl Offensive Security,3,22200,687,
team bts,3,22150,688,
Shellphish Academy,6,22150,689,
Try Too Hard,6,22125,690,
Matavie Hash,5,22100,691,
UPT-CTF,4,22050,692,
Zero-Day Knights,7,22050,693,
C0od3x,3,22050,694,
MHGA,13,22000,695,
Lost Flags Society,9,22000,696,
OffSecThink,11,22000,697,
rocknroll,6,22000,698,
Cumburger,6,22000,699,
Production Disruptors,11,21975,700,
MedDefenders,3,21975,701,
Phishing4Fun,6,21950,702,
Backdoor_Found,6,21950,703,
Cyb3rGh0st,4,21950,704,
Under New Pwnership,13,21925,705,
LetzPwn2,5,21925,706,
Capitol,7,21900,707,
Tokat,5,21900,708,
My4nM4r,4,21900,709,
kBxAc,3,21875,710,
I'm in your wallet,9,21850,711,
Wiloti,1,21850,712,
AmmHackati,9,21800,713,
l0mfxv3b!,12,21775,714,
NTUT_Is1ab,10,21750,715,
Holmesians,2,21725,716,
LarzacGoat,4,21725,717,
R4gnarΩk,4,21725,718,
00xx00,3,21725,719,
The Hideaways,4,21700,720,
KeksAufCrack,4,21700,721,
hackratic,7,21700,722,
Kryptoz,3,21675,723,
.5_avatar,2,21650,724,
gLaR3g3x,9,21650,725,
wel0vemilfs,7,21625,726,
V1t,4,21625,727,
Hazy Jane,2,21600,728,
StarStruck,4,21550,729,
P2P Academy,12,21550,730,
ClipClop,4,21525,731,
jpaothat,1,21525,732,
iLLest,4,21525,733,
trigrama,4,21525,734,
Circuit Sentinels,11,21475,735,
STJ CyberStorm,12,21475,736,
The Purple Hats,5,21450,737,
h3ckm3ck,4,21425,738,
Moorpark Cybersecurity Club,8,21425,739,
Zero-Day,15,21425,740,
Dennit Racing Backup Drivers,6,21425,741,
Pymi,3,21425,742,
h4ckth34ng3l,1,21400,743,
Arise Hacker,5,21400,744,
wild-lotus,1,21400,745,
Zer0_br41ns,9,21375,746,
ReVerSers :),7,21375,747,
APT48,4,21350,748,
RailSploit,8,21325,749,
boondogglin,9,21325,750,
Rensselaer Cactus Colab,8,21300,751,
TakeKitsune,6,21300,752,
R4nd0m B00l5h33t5 G0,6,21300,753,
jumbatukam,1,21225,754,
Global Deviation,10,21200,755,
KPPT000,8,21175,756,
Robot Mafia,7,21175,757,
QᴜᴀɴᴛᴜᴍX,5,21100,758,
True Mandarine,6,21050,759,
OffensiveLoans,18,21000,760,
NeoWick,3,20950,761,
t34m0n3z3r0,1,20950,762,
Sinister Script,7,20925,763,
Gh0s7Cyb3r,10,20925,764,
My Ambitionz as a Ridah,5,20875,765,
PSK Kaupunni KQRF,2,20875,766,
Dara,3,20825,767,
Cat Reloaded,7,20775,768,
absence,1,20775,769,
HotFlagsInYourArea,4,20750,770,
Jantar dos Filósofos,6,20750,771,
Pwnw1thClass,9,20750,772,
FSOC1ETY,2,20725,773,
s205,1,20700,774,
AutoRoot,8,20700,775,
M.N.M,2,20700,776,
TUCsec,14,20675,777,
RedTeamRain,8,20675,778,
00xN00B,9,20675,779,
CTRLFRE4KS,8,20650,780,
BulSU - f0xbyte,6,20650,781,
ssh root@uca,9,20625,782,
pwnsolo,13,20525,783,
Castor Hackers,6,20500,784,
Craftsmen,4,20475,785,
Phantom Exploit,2,20475,786,
5GHz Mind Control,15,20475,787,
0xFAILURES,8,20475,788,
First Timer CTF 2025,1,20475,789,
TH3 F1N4LS,5,20475,790,
Employment Not Found,2,20450,791,
Hackpocalypse,8,20450,792,
salvadoreTeam,1,20425,793,
K4rm4,7,20375,794,
BearTFDown,4,20375,795,
Qu'Hack,3,20325,796,
UCLINTv2,2,20325,797,
42 Berlin CTF,14,20275,798,
ckc9759,6,20275,799,
Minemwt,1,20250,800,
0x357d97,10,20225,801,
BlueWithNoClue,2,20175,802,
166 COS FirstState,5,20150,803,
RabbitHorse,2,20125,804,
H@ckTheFox,6,20125,805,
chaste757,1,20100,806,
{YFNA},7,20075,807,
SLB_,6,20050,808,
NU11_8Y735,5,20025,809,
qazwsxxswzaq,1,19975,810,
VorexTM,2,19950,811,
snocc,1,19950,812,
h4tum,6,19950,813,
University of Surrey 2,3,19925,814,
Behiry,2,19900,815,
Hack'in TN,13,19875,816,
n00bz,1,19875,817,
/dev/stp,7,19850,818,
CN4M,4,19850,819,
240,7,19825,820,
Yama,5,19800,821,
Dannyvdk,3,19800,822,
jjroccss,2,19775,823,
ISwearIGoogledIt,2,19775,824,
Schtrudel_team,1,19775,825,
Baker College,7,19750,826,
"Aw, Snap!",5,19725,827,
Clear Sky Group,4,19700,828,
Path Of Exploits,9,19700,829,
TroubleMaker,2,19700,830,
n3ver_Mind,1,19675,831,
HEAP EXPLOITERS,4,19675,832,
Fellows from Tower,6,19675,833,
HTML,6,19625,834,
_ProCircular,6,19625,835,
KB4B3T,3,19575,836,
Unemployed Nerds,2,19575,837,
Matrix HackZzz,3,19550,838,
